Start,Stop,Year,Month,Temperature,Quality
1985-08-01 00:00:01,1985-09-01 00:00:00,1985,08,16.0,Y
1985-09-01 00:00:01,1985-10-01 00:00:00,1985,09,11.2,Y
1985-10-01 00:00:01,1985-11-01 00:00:00,1985,10,10.0,Y
1985-11-01 00:00:01,1985-12-01 00:00:00,1985,11,1.2,Y
1985-12-01 00:00:01,1986-01-01 00:00:00,1985,12,0.1,Y
1986-01-01 00:00:01,1986-02-01 00:00:00,1986,01,-3.1,Y
1986-02-01 00:00:01,1986-03-01 00:00:00,1986,02,-6.1,Y
1986-03-01 00:00:01,1986-04-01 00:00:00,1986,03,1.8,Y
1986-04-01 00:00:01,1986-05-01 00:00:00,1986,04,4.0,Y
1986-06-01 00:00:01,1986-07-01 00:00:00,1986,06,15.9,Y
1986-07-01 00:00:01,1986-08-01 00:00:00,1986,07,16.6,Y
1986-08-01 00:00:01,1986-09-01 00:00:00,1986,08,14.8,Y
1986-09-01 00:00:01,1986-10-01 00:00:00,1986,09,10.2,Y
1986-10-01 00:00:01,1986-11-01 00:00:00,1986,10,8.9,Y
1986-11-01 00:00:01,1986-12-01 00:00:00,1986,11,6.8,Y
1986-12-01 00:00:01,1987-01-01 00:00:00,1986,12,1.1,Y
1987-01-01 00:00:01,1987-02-01 00:00:00,1987,01,-7.9,Y
1987-02-01 00:00:01,1987-03-01 00:00:00,1987,02,-1.0,Y
1987-03-01 00:00:01,1987-04-01 00:00:00,1987,03,-2.0,Y
1987-04-01 00:00:01,1987-05-01 00:00:00,1987,04,6.4,Y
1987-05-01 00:00:01,1987-06-01 00:00:00,1987,05,9.6,Y
1987-06-01 00:00:01,1987-07-01 00:00:00,1987,06,12.2,Y
1987-07-01 00:00:01,1987-08-01 00:00:00,1987,07,15.8,Y
1987-08-01 00:00:01,1987-09-01 00:00:00,1987,08,14.1,Y
1987-09-01 00:00:01,1987-10-01 00:00:00,1987,09,11.9,Y
1987-10-01 00:00:01,1987-11-01 00:00:00,1987,10,9.3,Y
1987-11-01 00:00:01,1987-12-01 00:00:00,1987,11,4.0,Y
1987-12-01 00:00:01,1988-01-01 00:00:00,1987,12,2.3,Y
1988-01-01 00:00:01,1988-02-01 00:00:00,1988,01,3.1,Y
1988-02-01 00:00:01,1988-03-01 00:00:00,1988,02,1.5,Y
1988-03-01 00:00:01,1988-04-01 00:00:00,1988,03,0.5,Y
1988-04-01 00:00:01,1988-05-01 00:00:00,1988,04,5.1,Y
1988-05-01 00:00:01,1988-06-01 00:00:00,1988,05,13.4,Y
1988-06-01 00:00:01,1988-07-01 00:00:00,1988,06,18.0,Y
1988-08-01 00:00:01,1988-09-01 00:00:00,1988,08,16.1,Y
1988-09-01 00:00:01,1988-10-01 00:00:00,1988,09,13.8,Y
1988-10-01 00:00:01,1988-11-01 00:00:00,1988,10,7.7,Y
1988-11-01 00:00:01,1988-12-01 00:00:00,1988,11,2.4,Y
1988-12-01 00:00:01,1989-01-01 00:00:00,1988,12,2.5,Y
1989-01-01 00:00:01,1989-02-01 00:00:00,1989,01,5.6,Y
1989-02-01 00:00:01,1989-03-01 00:00:00,1989,02,5.1,Y
1989-03-01 00:00:01,1989-04-01 00:00:00,1989,03,5.7,Y
1989-04-01 00:00:01,1989-05-01 00:00:00,1989,04,6.9,Y
1989-05-01 00:00:01,1989-06-01 00:00:00,1989,05,12.0,Y
1989-06-01 00:00:01,1989-07-01 00:00:00,1989,06,16.1,Y
1989-07-01 00:00:01,1989-08-01 00:00:00,1989,07,18.3,Y
1989-09-01 00:00:01,1989-10-01 00:00:00,1989,09,13.4,Y
1989-10-01 00:00:01,1989-11-01 00:00:00,1989,10,9.7,Y
1989-11-01 00:00:01,1989-12-01 00:00:00,1989,11,4.4,Y
1989-12-01 00:00:01,1990-01-01 00:00:00,1989,12,2.1,Y
1990-01-01 00:00:01,1990-02-01 00:00:00,1990,01,4.4,Y
1990-02-01 00:00:01,1990-03-01 00:00:00,1990,02,5.7,Y
1990-03-01 00:00:01,1990-04-01 00:00:00,1990,03,6.0,Y
1990-04-01 00:00:01,1990-05-01 00:00:00,1990,04,8.2,Y
1990-05-01 00:00:01,1990-06-01 00:00:00,1990,05,12.7,Y
1990-06-01 00:00:01,1990-07-01 00:00:00,1990,06,16.2,Y
1990-07-01 00:00:01,1990-08-01 00:00:00,1990,07,17.2,Y
1990-08-01 00:00:01,1990-09-01 00:00:00,1990,08,17.4,Y
1990-09-01 00:00:01,1990-10-01 00:00:00,1990,09,12.2,Y
1990-10-01 00:00:01,1990-11-01 00:00:00,1990,10,9.1,Y
1990-11-01 00:00:01,1990-12-01 00:00:00,1990,11,3.7,Y
1990-12-01 00:00:01,1991-01-01 00:00:00,1990,12,2.4,Y
1991-01-01 00:00:01,1991-02-01 00:00:00,1991,01,1.8,Y
1991-02-01 00:00:01,1991-03-01 00:00:00,1991,02,-1.8,Y
1991-03-01 00:00:01,1991-04-01 00:00:00,1991,03,4.3,Y
1991-04-01 00:00:01,1991-05-01 00:00:00,1991,04,6.9,Y
1991-05-01 00:00:01,1991-06-01 00:00:00,1991,05,10.1,Y
1991-06-01 00:00:01,1991-07-01 00:00:00,1991,06,12.3,Y
1991-07-01 00:00:01,1991-08-01 00:00:00,1991,07,19.0,Y
1991-08-01 00:00:01,1991-09-01 00:00:00,1991,08,17.7,Y
1991-09-01 00:00:01,1991-10-01 00:00:00,1991,09,13.7,Y
1991-10-01 00:00:01,1991-11-01 00:00:00,1991,10,8.7,Y
1991-11-01 00:00:01,1991-12-01 00:00:00,1991,11,5.4,Y
1991-12-01 00:00:01,1992-01-01 00:00:00,1991,12,3.6,Y
1992-01-01 00:00:01,1992-02-01 00:00:00,1992,01,2.7,Y
1992-02-01 00:00:01,1992-03-01 00:00:00,1992,02,3.1,Y
1992-03-01 00:00:01,1992-04-01 00:00:00,1992,03,4.3,Y
1992-04-01 00:00:01,1992-05-01 00:00:00,1992,04,5.5,Y
1992-05-01 00:00:01,1992-06-01 00:00:00,1992,05,14.0,Y
